,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AC020571.3,-0.00020374391,0.23444298,-0.0138422,0.48870257,-0.0067959717,-0.01564874,0.15782781,0.6924261,0.21083799,1.6408436,0.4550159,-0.014584254,1.261321,1.4166775,0.5374795,-0.0016219165
AC022182.1,0.7022986,0.10759016,-0.013019013,0.61010396,-0.0063224565,-0.011801073,-0.0049918466,-0.00039861092,-0.0025514844,1.4663649,0.054015778,-0.013116752,0.9527159,1.0176154,0.8849024,0.6885638
AC023590.1,-0.023293786,5.55397,-0.05553643,-0.03756962,-0.044672664,-0.06468011,6.208878,5.8293376,7.9014845,6.906117,2.520082,-0.08504415,6.4359035,7.391894,-0.026467685,-0.04925105
AC025171.1,0.47233543,0.15719055,-0.012765399,0.6291236,-0.006672343,-0.013129155,-0.002534147,0.062030762,-0.0011870698,1.5170842,0.18837225,-0.012631772,0.97943896,1.0485885,0.9011908,0.45926872
AC027601.1,0.84513724,0.14597276,-0.013077091,0.4491539,-0.0067462013,-0.010937367,-0.004828517,-0.0020616879,-0.0018141927,1.4023958,0.012029782,-0.012548313,0.85705394,0.9774401,0.7968888,0.8468968
AC069277.2,0.869912,0.17552178,-0.01300384,0.33892813,-0.0073850374,-0.010910084,-0.0042705704,-0.0022693214,-0.0010228304,1.376522,-0.00019096509,-0.012606532,0.8164762,0.96869475,0.7196469,0.86085856
AC069363.1,0.84102666,0.14053951,-0.013220857,0.48669747,-0.006760238,-0.011038161,-0.0052312165,-0.0016609209,-0.0021497207,1.3983216,0.0014162809,-0.012789584,0.8730972,0.9829116,0.81502247,0.8302365
AC073934.6,0.82275534,0.14978547,-0.013014318,0.4883903,-0.0069445926,-0.011267606,-0.004794458,-0.0014630569,-0.0021345592,1.44402,-4.6857593e-05,-0.013092915,0.8866977,0.9442281,0.85321635,0.7911663
AC074289.1,0.5327035,0.04666359,-0.013743971,0.5916747,-0.0089071,-0.014754225,-0.0025883983,0.13781153,0.015607864,1.5035117,0.07397185,-0.01585228,1.0720406,1.4405179,0.68800646,0.39079145
AC078883.3,-0.0011210984,0.6608388,-0.01782381,0.5488476,-0.0077740443,-0.016935157,0.679125,0.8829004,0.49250934,1.5008591,0.56110764,-0.014995661,1.4135879,1.7065715,0.39805406,-0.005148211
AC079305.10,0.86420995,0.15634535,-0.013421425,0.49012402,-0.0070123933,-0.011324129,-0.0044834977,-0.0017971531,-0.0020240375,1.4505327,0.020523347,-0.012833265,0.8748829,1.0192279,0.83676565,0.83781546
AC079630.4,-0.0026346887,0.6516251,-0.01531409,0.22360472,-0.008869209,-0.01823182,0.7909421,0.877146,0.98464936,1.6994454,0.6506655,-0.015978258,1.5432923,1.6852093,0.057118107,-0.0069537205
AC079742.4,0.8855267,0.12391357,-0.012830443,0.46705443,-0.0068958006,-0.010948443,-0.005397282,-0.002156614,-0.0022362815,1.3929167,-0.00024301096,-0.012732485,0.82997084,0.9292068,0.82218045,0.8675117
AC079767.4,-0.01727795,5.135575,-0.050605983,-0.039285976,-0.04831018,-0.06353001,5.829577,5.2358065,7.9360423,6.43406,2.1417441,-0.08361709,5.8603787,7.33349,-0.030372646,-0.045405287
AC083843.1,0.87015444,0.13527258,-0.012954947,0.41802296,-0.0068912217,-0.010927088,-0.005002957,-0.0024235286,-0.0016725725,1.3814673,0.00048102438,-0.012414032,0.82500166,0.96381783,0.7684083,0.88050485
AC084082.3,0.8869146,0.11364515,-0.012854955,0.4255272,-0.006867245,-0.011113207,-0.005033121,-0.0027430386,-0.0017619428,1.3756151,0.01105544,-0.012276736,0.80800855,0.96928364,0.7642327,0.8938967
AC092535.3,0.8568937,0.13093653,-0.013470854,0.47723106,-0.006991444,-0.011474469,-0.0051140958,-0.0017972123,-0.0019274035,1.4291066,-0.00012010187,-0.0131911645,0.8804308,0.9809322,0.8239698,0.84355354
AC092580.4,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AC093323.3,-0.023295714,5.554488,-0.05553392,-0.037569206,-0.044675536,-0.06468113,6.2092333,5.82904,7.901224,6.9056463,2.5198076,-0.08504572,6.4356036,7.392391,-0.02647006,-0.04925273
AC093495.4,0.86526346,0.1335777,-0.012813841,0.44671598,-0.0066224793,-0.010831287,-0.0051152925,-0.0022955802,-0.0020344385,1.3783456,0.015528157,-0.012155932,0.8196979,0.93676937,0.79151165,0.87081504
AC093627.10,0.7628879,0.16952527,-0.013535774,0.44782978,-0.0073241377,-0.011372762,-0.003994205,-0.00033150846,-0.0017443013,1.4642543,0.026699148,-0.013864915,0.89367634,1.0595589,0.8105321,0.71170086
AC093673.5,-0.0044285054,0.43572843,-0.016608164,0.39230686,-0.0068298187,-0.017316505,0.5925081,1.0377959,0.4477469,1.7579447,0.5867992,-0.016233014,1.4800278,1.7116185,0.44029284,-0.0053577702
AC093818.1,0.034695365,0.3646847,-0.01558797,0.5507575,-0.0072469567,-0.016349332,0.32268,0.6432236,0.34398037,1.4502711,0.4751032,-0.015004345,1.3160734,1.543443,0.44290334,-0.0029899718
